Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,eval_frequency,initial_rate,max_steps,model_name,optimizers,section,section_model,size,AWARDS_f1_score,AWARDS_precision,AWARDS_recall,Address_f1_score,Address_precision,Address_recall,CERTIFICATIONS_f1_score,CERTIFICATIONS_precision,CERTIFICATIONS_recall,CLIENT_f1_score,CLIENT_precision,CLIENT_recall,COMPANY_LOC_f1_score,COMPANY_LOC_precision,COMPANY_LOC_recall,COMPANY_f1_score,COMPANY_precision,COMPANY_recall,DESGINATION_f1_score,DESGINATION_precision,DESGINATION_recall,EDUCATIONAL_INSTITUTION_f1_score,EDUCATIONAL_INSTITUTION_precision,EDUCATIONAL_INSTITUTION_recall,EMAIL_f1_score,EMAIL_precision,EMAIL_recall,GITHUB_URL_f1_score,GITHUB_URL_precision,GITHUB_URL_recall,HIGHER_EDUCATION_f1_score,HIGHER_EDUCATION_precision,HIGHER_EDUCATION_recall,LINKEDIN_URL_f1_score,LINKEDIN_URL_precision,LINKEDIN_URL_recall,LinkedIn URL_f1_score,LinkedIn URL_precision,LinkedIn URL_recall,NAME_f1_score,NAME_precision,NAME_recall,PASSOUTYEAR_f1_score,PASSOUTYEAR_precision,PASSOUTYEAR_recall,PERSON_ADDRESS_f1_score,PERSON_ADDRESS_precision,PERSON_ADDRESS_recall,PHONE_NO_f1_score,PHONE_NO_precision,PHONE_NO_recall,PROJECTS_f1_score,PROJECTS_precision,PROJECTS_recall,SKILLS_f1_score,SKILLS_precision,SKILLS_recall,SUMMARY_f1_score,SUMMARY_precision,SUMMARY_recall,TOTAL_EXP_f1_score,TOTAL_EXP_precision,TOTAL_EXP_recall,WORKING_DATES_f1_score,WORKING_DATES_precision,WORKING_DATES_recall,accuracy,f1_score,kappa,length,precision,recall,model_flavor
2023-08-08 15:38:09,5.0s,b5c81468d0ec4f0897dd28424e4b01a3,entire_resume_20230808-152157,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",entire_resume,entire_resume_microsoft/deberta-base,2000,0,0,0,,,,0.3183984747,0.3920187793,0.2680577849,0.0365296804,0.0401002506,0.0335429769,0.8550724638,0.8734047984,0.8374938815,0.7868095631,0.7955985328,0.7782126549,0.8150824823,0.83008,0.800617284,0.7344365642,0.755267423,0.7147239264,0.8597210829,0.8438003221,0.8762541806,0,0,0,0.7196261682,0.7598684211,0.6834319527,0.5472440945,0.5387596899,0.556,0,0,0,0.8052851182,0.7782258065,0.8342939481,0.674584323,0.7208121827,0.6339285714,0.2868852459,0.2857142857,0.2880658436,0.7810650888,0.7623762376,0.8006932409,0.4417989418,0.5022556391,0.3943329398,0.8742957606,0.8597642436,0.8893269387,0.185528757,0.1858736059,0.1851851852,0.8099688474,0.7753479125,0.847826087,0.9241212853,0.9270581114,0.9212030075,0.8235076624,0.8235076268,0.6807705154873622,2279,0.8237173551,0.8232980053,spacyentire_resume
2023-08-03 09:44:56,6.7s,37425e208b874ba09990200aec29d453,experience_details_section_20230803-093116,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",experience_details_section,experience_details_section_microsoft/deberta-base,2000,,,,,,,0,0,0,,,,0.8572241183,0.834440753,0.8812865497,0.8018979834,0.7952941176,0.8086124402,0.8301815431,0.8199477027,0.8406740712,0,0,0,,,,,,,0,0,0,,,,,,,,,,0,0,0,,,,,,,0.4719764012,0.5031446541,0.4444444444,0.877471224,0.8452391028,0.9122590664,,,,,,,0.9094170404,0.9043881555,0.9145021645,0.8608598778,0.8604269294,0.8763569627848772,1909,0.8374288898,0.8847238142,spacyexperience_details_section
2023-08-03 09:29:25,6.6s,a1930f76ae0e466d8f887aa9c8824231,personal_details_section_20230803-091750,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",personal_details_section,personal_details_section_microsoft/deberta-base,2000,,,,,,,,,,,,,,,,,,,,,,,,,0.9552529183,0.9352380952,0.9761431412,0.6428571429,0.5625,0.75,,,,0.8226950355,0.8130841121,0.8325358852,,,,0.9182282794,0.913559322,0.9229452055,,,,0.6990740741,0.6565217391,0.7475247525,0.8950050968,0.879759519,0.9107883817,,,,,,,0.7154742097,0.6739811912,0.7624113475,0.901910828,0.8962025316,0.9076923077,,,,0.8704396282999999,0.8701393984,0.8162683375744739,1909,0.8507890961,0.8903903904,spacypersonal_details_section
2023-08-03 09:16:01,7.4s,ede10d0030504afdad6ad3f08d34c3e1,entire_resume_20230803-090034,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",entire_resume,entire_resume_microsoft/deberta-base,2000,0,0,0,,,,0.309947644,0.3378995434,0.2862669246,0,0,0,0.8639867841,0.8504065041,0.8780078344,0.7845073097,0.7646188009,0.8054580897,0.8185483871,0.8000716589,0.8378986867,0.7019982624,0.6801346801,0.7253141831,0.8672727273,0.8057432432,0.938976378,0,0,0,0.700265252,0.710951526,0.6898954704,0.602739726,0.5814977974,0.6255924171,0,0,0,0.7963875205,0.7735247209,0.820642978,0.676096181,0.6927536232,0.6602209945,0.4593301435,0.4485981308,0.4705882353,0.7828627069,0.7472118959,0.8220858896,0.3891752577,0.3669501823,0.414266118,0.8559269477,0.8130002031,0.9036394834,0.3705035971,0.3843283582,0.3576388889,0.7980997625,0.7567567568,0.8442211055,0.9093782929,0.9030345309,0.9158118146,0.8161223073,0.8155050222,0.7540420864121615,1911,0.7889362962,0.8439256035,spacyentire_resume
2023-08-02 11:09:56,6.6s,75752585f10142ffbe74cf245d6d57d8,experience_details_section_20230802-105616,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",experience_details_section,experience_details_section_microsoft/deberta-base,2000,,,,,,,0,0,0,,,,0.8701260627,0.8436611711,0.8983050847,0.7929406936,0.7675804529,0.8200339559,0.8244881733,0.8158929976,0.833266372,0,0,0,,,,,,,0,0,0,,,,,,,,,,0,0,0,,,,,,,0.4665579119,0.4839255499,0.4503937008,0.8661286494,0.8323448905,0.9027709055,,,,,,,0.9274976213,0.9189291101,0.9362274299,0.8542124159333334,0.8536353224,0.872547623311115,1783,0.8273037116,0.8816982138,spacyexperience_details_section
2023-08-02 10:54:18,6.7s,55add4cad3cb44ca9c2e3783ac17d2fb,personal_details_section_20230802-104247,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",personal_details_section,personal_details_section_microsoft/deberta-base,2000,,,,,,,,,,,,,,,,,,,,,,,,,0.9632653061,0.9421157685,0.9853862213,0.6511627907,0.5384615385,0.8235294118,,,,0.8543209877,0.8357487923,0.8737373737,,,,0.9039341263,0.8981818182,0.9097605893,,,,0.7156862745,0.6636363636,0.7765957447,0.8891280947,0.8676470588,0.9116997792,,,,,,,0.7155963303,0.7142857143,0.7169117647,0.8982360923,0.885026738,0.91184573,,,,0.8711028355,0.8708171206,0.7603865531237397,1783,0.8519223449,0.890569041,spacypersonal_details_section
2023-08-02 10:40:58,8.2s,99174ff482ca4645822ff353beeaa343,entire_resume_20230802-102557,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",entire_resume,entire_resume_microsoft/deberta-base,2000,0,0,0,,,,0.3311772316,0.4115755627,0.2770562771,0.0092807425,0.0322580645,0.0054200542,0.8442969221,0.8382264829,0.8504559271,0.785997358,0.7979436746,0.7744034707,0.8188749227,0.8334731544,0.8047792629,0.7382146439,0.7540983607,0.7229862475,0.8525641026,0.8617710583,0.843551797,0,0,0,0.6953046953,0.7420042644,0.6541353383,0.4657534247,0.4941860465,0.4404145078,0,0,0,0.8370786517,0.8386491557,0.8355140187,0.725,0.7557003257,0.6966966967,0,0,0,0.7657657658,0.7943925234,0.7391304348,0.3780392157,0.3862179487,0.3701996928,0.8585589377,0.8287597039,0.8905810457,0.3915789474,0.4407582938,0.3522727273,0.8132780083,0.8328611898,0.7945945946,0.9193770944,0.9199211045,0.9188337273,0.8182755785000001,0.818247585,0.7302417340018931,1785,0.8124278189,0.8241513316,spacyentire_resume
2023-08-01 09:44:38,7.0s,a57e0af227b14d7091e9f9d1107eb3b7,experience_details_section_20230801-093112,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",experience_details_section,experience_details_section_microsoft/deberta-base,2000,0,0,0,,,,0,0,0,,,,0.858961474,0.8467635403,0.8715159755,0.8023584906,0.8004705882,0.8042553191,0.8269354493,0.818336163,0.8357173819,0,0,0,,,,,,,0,0,0,,,,,,,,,,0,0,0,,,,,,,0.4812834225,0.525,0.4442877292,0.8728600998,0.8425159835,0.9054716314,,,,,,,0.936285774,0.9226018938,0.9503816794,0.8595531061333332,0.8591878173,0.8092951683971289,1641,0.8380314233,0.8814400778,spacyexperience_details_section
2023-08-01 09:29:13,6.8s,29996926103a4ad6bad2a23bd258da08,personal_details_section_20230801-091726,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",personal_details_section,personal_details_section_microsoft/deberta-base,2000,,,,,,,,,,,,,,,,,,,,,,,,,0.9491891892,0.9261603376,0.9733924612,0.6060606061,0.5,0.7692307692,,,,0.8072916667,0.7908163265,0.8244680851,,,,0.916,0.9233870968,0.9087301587,,,,0.6946778711,0.6739130435,0.7167630058,0.8987485779,0.8856502242,0.9122401848,,,,,,,0.7349823322,0.7027027027,0.7703703704,0.8842975207,0.8770491803,0.8916666667,,,,0.8667099790333334,0.8665297741,0.790264898969766,1641,0.8514931396,0.8821070234,spacypersonal_details_section
2023-08-01 09:15:31,8.0s,e0c26bb86f104dbdb3b19349d980fedc,entire_resume_20230801-090037,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",entire_resume,entire_resume_microsoft/deberta-base,2000,0,0,0,,,,0.3648124191,0.4208955224,0.3219178082,0.0750469043,0.1092896175,0.0571428571,0.8329032258,0.8181242079,0.8482260184,0.7899120777,0.7755565652,0.8048090523,0.8205128205,0.8147497805,0.8263579697,0.7046413502,0.7076271186,0.7016806723,0.8408342481,0.829004329,0.8530066815,0,0,0,0.7027027027,0.7206823028,0.6855983773,0.5088757396,0.5058823529,0.5119047619,0,0,0,0.8103448276,0.773308958,0.8511066398,0.7027914614,0.735395189,0.6729559748,0,0,0,0.7591240876,0.7609756098,0.7572815534,0.4317991632,0.451048951,0.4141252006,0.8568166021,0.8214965727,0.8953102303,0.4042105263,0.4465116279,0.3692307692,0.7908396947,0.8119122257,0.7708333333,0.9077220908,0.9083082221,0.9071367154,0.8150760382666666,0.8148370988,0.7054711099826663,1643,0.7981024221,0.8322885939,spacyentire_resume
2023-07-28 09:43:10,6.9s,b0f7a6759cde4ae5a6a8a318f28ffa77,experience_details_section_20230728-093019,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",experience_details_section,experience_details_section_microsoft/deberta-base,2000,,,,,,,0,0,0,,,,0.8420664207,0.8274111675,0.8572501878,0.7711229947,0.7364657814,0.8092031425,0.8216624685,0.7995098039,0.8450777202,0,0,0,,,,,,,0,0,0,,,,,,,,,,0,0,0,,,,,,,0.497382199,0.5071174377,0.4880136986,0.8764998047,0.8460916878,0.9091751085,,,,,,,0.9252247989,0.9005066789,0.9513381995,0.858006524,0.85741923,0.8723784102073033,1443,0.8308026844,0.8857976576,spacyexperience_details_section
2023-07-28 09:28:31,6.8s,1eda47987616416eaad8cfdecc89fcdb,personal_details_section_20230728-091635,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",personal_details_section,personal_details_section_microsoft/deberta-base,2000,,,,,,,,,,,,,,,,,,,,,,,,,0.962406015,0.9458128079,0.9795918367,0.4864864865,0.36,0.75,,,,0.8238993711,0.8343949045,0.8136645963,,,,0.9101251422,0.9009009009,0.9195402299,,,,0.7254901961,0.7115384615,0.74,0.8966408269,0.8874680307,0.9060052219,,,,,,,0.6946564885,0.6476868327,0.7489711934,0.8996763754,0.8825396825,0.9174917492,,,,0.8663026334333334,0.8660084626,0.7673061395605236,1442,0.8468965517,0.886002886,spacypersonal_details_section
2023-07-28 09:14:52,7.6s,f9be6b9e2f044986b348223bb8786045,entire_resume_20230728-090025,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",entire_resume,entire_resume_microsoft/deberta-base,2000,0,0,0,,,,0.3188405797,0.34375,0.2972972973,0,0,0,0.8106007067,0.8032212885,0.8181169757,0.7477962782,0.7027151404,0.7990580848,0.8098946404,0.7885816236,0.8323917137,0.7057416268,0.7125603865,0.6990521327,0.7990599295,0.7280513919,0.8854166667,0,0,0,0.700913242,0.6898876404,0.7122969838,0.6689189189,0.6644295302,0.6734693878,,,,0.7687434002,0.7067961165,0.8425925926,0.6920152091,0.7137254902,0.6715867159,0.1264822134,0.1616161616,0.1038961039,0.769035533,0.7426470588,0.7973684211,0.3980582524,0.3679487179,0.4335347432,0.8633456399,0.8265956388,0.9035154549,0.3950617284,0.4,0.3902439024,0.8012618297,0.7514792899,0.8581081081,0.8988962472,0.8810038944,0.9175304191,0.8144772418,0.8138902072,0.7368069881974362,1444,0.787985541,0.8415559772,spacyentire_resume
2023-07-27 09:42:45,7.1s,2407b542580647889e2186851ebbc948,experience_details_section_20230727-092959,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",experience_details_section,experience_details_section_microsoft/deberta-base,2000,0,0,0,,,,0,0,0,,,,0.8658304827,0.8525449102,0.8795366795,0.7888947093,0.7617602428,0.8180336773,0.8358730952,0.8129251701,0.8601542416,0,0,0,,,,,,,0,0,0,,,,,,,,,,0,0,0,,,,,,,0.4749754661,0.4989690722,0.4531835206,0.8802344587,0.847284761,0.9158505835,,,,,,,0.9231142372,0.9040380048,0.943012884,0.8643260460333334,0.8637199296,0.8403082606281966,1357,0.8365916496,0.8926665589,spacyexperience_details_section
2023-07-27 09:28:15,6.8s,c69e10a665b444f8a1e78e61d3dc287c,personal_details_section_20230727-091623,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",personal_details_section,personal_details_section_microsoft/deberta-base,2000,,,,,,,,,,,,,,,,,,,,,,,,,0.9533954727,0.9226804124,0.9862258953,0.5161290323,0.3636363636,0.8888888889,,,,0.8375451264,0.8169014085,0.8592592593,,,,0.9088757396,0.8868360277,0.932038835,,,,0.6774193548,0.6481481481,0.7094594595,0.8998628258,0.8770053476,0.923943662,,,,,,,0.7519685039,0.7431906615,0.7609561753,0.9070146819,0.891025641,0.9235880399,,,,0.8705517061,0.8700787402,0.6725763473812421,1356,0.8459330144,0.8956433637,spacypersonal_details_section
